Id,Desktop[en_US],Desktop[es_GT],Desktop[pt_BR],Desktop[zh_CN],AppStore[en_US],AppStore[es_GT],AppStore[pt_BR],AppStore[zh_CN],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],Exec,Exec[en],Exec[es],Exec[pt],Exec[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh],Categories
armagetron,,,,,X,X,X,X,Armagetron,,Armagetron,Armagetron,,3d light cycle game,,,,,armagetronad,,,,,armagetron-adv,,,,,Games;
audacity,,,,,X,X,X,X,Audio Editor,,Señor DJ,Edita Som,,Audacity,,,,,audacity,,,,,audacity,,,,,Audio;
billardgl,,,,,X,X,X,X,Billiards,,Billar,Sinuca,,BillardGL,,,,,billard-gl,,,,,billardgl,,,,,Games;
blockout,,,,,X,X,X,X,BlockOut 2,,BlockOut 2,BlockOut 2,,3D Tetris-style game,,,,,blockout2,,,,,blockout2,,,,,Games;
calc,,,,,X,X,X,X,Calculator,,Calculadora,Calculadora,,Calculator,,,,,qalculate-gtk,,,,,calculator,,,,,Utility;Calculator;
chromium-bsu,,,,,X,X,X,X,Chromium BSU,,,,,Chromium BSU,,,,,chromium-bsu --fullscreen,,,,,chromium-bsu,,,,,Games;
email,,,,,X,X,X,X,E-mail,,,,,E-mail,,,,,evolution %U,,,,,email,,,,,Mail;Email;
freecell,,,,,X,X,X,X,Freecell,,,,,Freecell,,,,,/usr/games/sol --freecell --class sol-freecell,,,,,freecell,,,,,Games;
gbrainy,,,,,X,X,X,X,Brain Teasers,,Rompecabezas,Quebra-cabeça,,GBrainy,,,,,gbrainy,,,,,gbrainy,,,,,Games;
gcompris,,,,,X,X,X,X,GCompris,,,,,Childrens games,,,,,gcompris,,,,,gcompris,,,,,Games;Education;
geniusmath,,,,,X,X,X,X,Math,,Matemáticas,Matemática,,Genius Math,,,,,gnome-genius,,,,,geniusmath,,,,,Utility;Calculator;
goldendict,,,,,X,X,X,X,Dictionary,,Dicionário,Dicionário,,GoldenDict,,,,,goldendict,,,,,goldendict,,,,,Utility;
impress,,,,,X,X,X,X,Presentation,,Presentación,Apresentação,,Impress,,,,,libreoffice --impress %U,,,,,office_presentation,,,,,Office;
kobodeluxe,,,,,X,X,X,X,Kobo Deluxe,,Kobo Deluxe,Kobo Deluxe,,Destroy enemy bases in space,,,,,kobodl,,,,,kobodeluxe,,,,,Games;
lbreakout,,,,,X,X,X,X,Breakout,,El Escape,Fuga,,LBreakout2 game,,,,,lbreakout2,,,,,lbreakout,,,,,Games;
music,,,,,X,X,X,X,Music,,Música,Música,,Music,,,,,beatbox %U,,,,,music,,,,,Audio;
numptyphysics,,,,,X,X,X,X,Physics,,Retos,Fisicando,,Numpty Physics game,,,,,numptyphysics,,,,,fisicando,,,,,Games;Education;
openarena,,,,,X,X,X,X,Open Arena,,,,,Open Arena,,,,,/usr/games/openarena,,,,,openarena,,,,,Games;
pcmanfm,,,,,X,X,X,X,Files,,Documentos,Documentos,,File Manager,,,,,pcmanfm ~,,,,,file-manager,,,,,FileManager;Utility;Core;GTK;
photo-editor,,,,,X,X,X,X,GIMP,,,,,Photo Editor,,Editor de Imágenes,Editor de Imagens,图像编辑器,gimp %U,,,,,gimp,,,,,Photos;
photos,,,,,X,X,X,X,Photo Editor,,Editor de Fotos,Editor de Fotos,照片编辑器,Endless Photo App,,,,,endless-os-photos %f,,,,,photo,,,,,Photos;
pingus,,,,,X,X,X,X,Pingus,,,,,Penguin Game,,,,,pingus,,,,,pingus,,,,,Games;
qBittorrent,,,,,X,X,X,X,Media Download,,Descargar,Baixar Mídia,,qBittorrent,,,,,qbittorrent %U,,,,,qbittorrent,,,,,Network;
shotwell,,,,,X,X,X,X,Photos,,Fotos,Fotos,,Shotwell Photo Organizer,,,,,shotwell %U,,,,,shotwell,,,,,Photos;
skype,,,,,X,X,X,X,Skype,,,,,Skype,,,,,skype %U,,,,,skype,,,,,Network;
solitaire,,,,,X,X,X,X,Solitaire,,,,,Solitaire,,,,,/usr/games/sol,,,,,solitaire,,,,,Games;
spreadsheet,,,,,X,X,X,X,Spreadsheet,,Hoja de Cálculo,Planilha,,Spreadsheet,,,,,libreoffice --calc %U,,,,,office_spreadsheet,,,,,Office;
stellarium,,,,,X,X,X,X,Stellarium,,Constelaciones,Constelação,,Stellarium,,,,,stellarium,,,,,stellarium,,,,,Astronomy;Education;Science;
sudoku,,,,,X,X,X,X,Sudoku,,,,,Sudoku,,,,,/usr/games/gnome-sudoku,,,,,sudoku,,,,,Games;
supertux,,,,,X,X,X,X,Super Tux,,,,,Super Tux,,,,,supertux2 --fullscreen,,,,,supertux,,,,,Games;
