Id,Desktop[en_US],Desktop[es_GT],Desktop[pt_BR],Desktop[zh_CN],AppStore[en_US],AppStore[es_GT],AppStore[pt_BR],AppStore[zh_CN],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],URL,URL[en],URL[es],URL[pt],URL[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh]
angrybirds,,,,,X,X,X,X,Angry Birds,,,,愤怒的小鸟,,,,,Angry Birds,http://chrome.angrybirds.com,,,,,angrybirds,,,,
bandnews,,,,,,,X,,Band News,,,,,,,,,,http://bandnewsfm.band.com.br,,,,,bandnews,,,,
bol,,,,,,,X,,Bol,,,,,,,,,,http://www.bol.uol.com.br,,,,,bol,,,,
botafogo,,,,,,,X,,Botafogo,,,,,,,,,,http://www.botafogo.com.br,,,,,botafogo,,,,
brasil,,,,,,,X,,Portal Brasil,,,,,,,,,,http://www.brasil.gov.br,,,,,portalbrasil,,,,
brasilescola,,,,,,,X,,Brasil Escola,,,,,,,,,,http://www.vestibular.brasilescola.com,,,,,brasil-escola,,,,
catho,,,,,,,X,,Catho,,,,,,,,,,http://www.catho.com.br,,,,,catho,,,,
cifraclub,,,,,,,X,,Cifra Club,,,,,,,,,,http://www.cifraclub.com.br,,,,,cifraclub,,,,
cinema,,,,,,,X,,Cinema,,,,,,,,,,http://www.cinema.com,,,,,cinema,,,,
clickjogos,,,,,,,X,,Click Jogos,,,,,,,,,,http://www.clickjogos.uol.com.br,,,,,clickjogos,,,,
clima,,,,,,,X,,Clima,,,,,,,,,,http://www.climatempo.com.br/previsao-do-tempo/cidade/321/riodejaneiro-rj,,,,,climatempo,,,,
climatempo,,,,,,,X,,Alerta Rio,,,,,,,,,,http://www.climatempo.com.br/alerta-rio/,,,,,alerta-rio,,,,
cnn,,,,,X,,,X,CNN,,,,,,,,,,http://www.cnn.com,,,,,cnn,,,,
codeacademy,,,,,X,X,X,X,Code Academy,,Academia Code,Academia Code,,,,,,,http://www.codeacademy.com,,,,,codeacademy,,,,
crflamengo,,,,,,,X,,C.R. Flamengo,,,,,,,,,,http://www.flamengo.com.br,,,,,flamengo,,,,
curriculo,,,,,,,X,,Curriculo Online,,,,,,,,,,http://curriculo.com.br,,,,,curriculo,,,,
curriculum,,,,,,,X,,Curriculum,,,,,,,,,,http://www.curriculum.com.br,,,,,curriculum,,,,
delegacias,,,,,,,X,,Delegacias,,,,,,,,,,http://www.policiacivil.rj.gov.br/delegacia.asp#deam,,,,,delegacias,,,,
disquedenuncia,,,,,,,X,,Disque Denuncia,,,,,,,,,,http://www.disquedenuncia.org.br,,,,,disque-denuncia,,,,
economist,,,,,X,,,X,The Economist,,,,,,,,,,http://www.economist.com,,,,,theeconomist,,,,
empregocerto,,,,,,,X,,Emprego Certo,,,,,,,,,,http://empregocerto.uol.com.br/info/cadastre-se.html?psid=1,,,,,emprego-certo,,,,
empregosrj,,,,,,,X,,Ache Empregos Rio,,,,,,,,,,http://www.empregosrj.com,,,,,empregos-rj,,,,
extra,,,,,,,X,,Extra,,,,,,,,,,http://extra.globo.com,,,,,extra,,,,
facebook,,,,,X,X,X,X,Facebook,,,,,,,,,,http://www.facebook.com,,,,,facebook,,,,
fluminense,,,,,,,X,,Fluminense,,,,,,,,,,http://www.fluminense.com.br,,,,,fluminense,,,,
fofoca,,,,,,,X,,Fofoca,,,,,,,,,,http://www.fofoca.tv/,,,,,fofoca-tv,,,,
g1,,,,,,,X,,G1,,,,,,,,,,http://g1.globo.com,,,,,g1,,,,
gazetaesportiva,,,,,,,X,,Gazeta Esportiva,,,,,,,,,,http://www.gazetaesportiva.net,,,,,gazeta-esportiva,,,,
globo,,,,,,,X,,Globo,,,,,,,,,,http://www.globo.com,,,,,globo-dot-com,,,,
globoesporte,,,,,,,X,,Globo Esporte,,,,,,,,,,http://globoesporte.globo.com,,,,,globoesporte-dot-com,,,,
globotv,,,,,,,X,,RJTV 1a Edição,,,,,,,,,,http://globotv.globo.com/rede-globo/rjtv-1a-edicao/,,,,,rjtv,,,,
globotvnews,,,,,,,X,,Globo News,,,,,,,,,,http://globotv.globo.com/globo-news,,,,,globonews,,,,
gnt,,,,,,,X,,GNT,,,,,,,,,,http://gnt.globo.com,,,,,gnt,,,,
google,,,,,X,X,X,X,Google,,,,,,,,,,http://www.google.com,,,,,google,,,,
googletranslate,,,,,X,X,X,X,Translate,,Traductor,Tradutor,翻译,Google Translate,,,,,http://translate.google.com,,,,,googletranslate,,,,
gritodanacao,,,,,,,X,,Grito da Nacao,,,,,,,,,,http://blogs.lancenet.com.br/gritodanacao,,,,,grito-da-nacao,,,,
grooveshark,,,,,X,X,X,X,Online Music,,Música Virtual,Música Online,在线音乐,Grooveshark,,,,,http://grooveshark.com,,,,,grooveshark,,,,
guatemala,,,,,,X,,,Gobierno de Guatemala,,,,,,,,,,http://www.guatemala.gob.gt,,,,,guatemala,,,,
guiadasemana,,,,,,,X,,Guia da Semana,,,,,,,,,,http://www.guiadasemana.com/br/rio-de-janeiro,,,,,guia-da-semana,,,,
imdb,,,,,,,X,,IMDb,,,,,,,,,,http://www.imdb.com,,,,,imdb,,,,
inea,,,,,,,X,,Inea,,,,,,,,,,http://www.inea.rj.gov.br/index.asp,,,,,inea,,,,
